Date,Open,High,Low,Close,Adj Close,Volume
2010-12-08,1012.000000,1050.500000,1004.500000,1041.000000,977.486938,7500
2010-12-09,1018.000000,1042.750000,1017.250000,1029.000000,966.218994,14300
2010-12-10,1039.750000,1057.500000,1016.250000,1022.750000,960.350403,12300
2010-12-13,990.500000,1009.750000,978.250000,1004.000000,942.744324,3500
2010-12-14,999.750000,1014.250000,985.000000,1003.750000,942.509521,3300
2010-12-15,1023.250000,1044.750000,1006.000000,1041.000000,977.486938,2800
2010-12-16,1048.000000,1093.500000,1048.000000,1072.750000,1007.299622,2900
2010-12-17,1065.500000,1094.250000,1060.750000,1071.750000,1006.360779,700
2010-12-20,1057.000000,1077.250000,1047.500000,1055.000000,990.632751,1900
2010-12-21,1048.500000,1072.250000,1048.000000,1058.500000,993.919250,500
2010-12-22,1057.250000,1081.750000,1057.250000,1081.000000,1015.046265,500
2010-12-23,1080.750000,1088.250000,1050.750000,1064.750000,999.787842,300
2010-12-27,1064.000000,1098.000000,1064.000000,1078.250000,1012.464172,1000
2010-12-28,1036.500000,1055.750000,1018.000000,1020.750000,958.472290,1400
2010-12-29,1014.250000,1023.000000,1005.000000,1014.250000,952.368958,300
2010-12-30,1011.250000,1035.500000,1005.250000,1029.750000,966.923157,300
2010-12-31,1020.500000,1024.250000,1001.000000,1009.500000,947.908691,1000
2011-01-03,992.250000,1043.500000,992.250000,1032.500000,969.505432,1300
2011-01-04,1054.500000,1124.500000,1051.000000,1090.500000,1023.966797,2200
2011-01-05,1115.750000,1144.000000,1106.750000,1118.500000,1050.258423,1200
2011-01-06,1117.250000,1182.750000,1117.250000,1176.000000,1104.250366,2200
2011-01-07,1190.750000,1190.750000,1137.750000,1176.500000,1104.719849,2300
2011-01-10,1171.000000,1194.250000,1164.500000,1168.750000,1097.442505,600
2011-01-11,1134.500000,1151.500000,1121.000000,1122.500000,1054.014282,800
2011-01-12,1116.750000,1151.250000,1116.750000,1125.750000,1057.066162,900
2011-01-13,1118.750000,1214.000000,1118.500000,1201.250000,1127.959839,1700
2011-01-14,1223.000000,1261.750000,1223.000000,1249.750000,1173.500610,3500
2011-01-18,1218.000000,1223.750000,1196.500000,1208.500000,1134.767334,2500
2011-01-19,1182.500000,1244.750000,1182.250000,1230.750000,1155.659912,2000
2011-01-20,1280.750000,1314.500000,1258.000000,1263.000000,1185.942261,6100
2011-01-21,1269.500000,1292.000000,1250.000000,1290.000000,1211.294922,2200
2011-01-24,1294.000000,1329.750000,1265.500000,1316.500000,1236.178101,4400
2011-01-25,1348.250000,1361.500000,1321.750000,1334.250000,1252.845215,5000
2011-01-26,1336.000000,1338.500000,1226.750000,1228.250000,1153.312378,6900
2011-01-27,1234.250000,1309.750000,1234.000000,1292.500000,1213.642456,7200
2011-01-28,1311.250000,1313.500000,1217.500000,1264.250000,1187.115967,6300
2011-01-31,1270.500000,1304.000000,1255.750000,1282.250000,1204.017822,2900
2011-02-01,1248.750000,1275.250000,1197.000000,1208.750000,1135.002197,4000
2011-02-02,1206.250000,1248.250000,1203.000000,1230.750000,1155.659912,2700
2011-02-03,1218.500000,1245.750000,1153.750000,1159.250000,1088.522339,4200
2011-02-04,1144.250000,1183.250000,1140.750000,1176.000000,1104.250366,2700
2011-02-07,1157.000000,1180.000000,1151.750000,1178.000000,1106.128296,1400
2011-02-08,1141.250000,1148.750000,1122.000000,1124.750000,1056.127197,2100
2011-02-09,1127.000000,1171.000000,1113.750000,1159.250000,1088.522339,1700
2011-02-10,1186.250000,1210.000000,1169.250000,1180.500000,1108.475708,1600
2011-02-11,1175.750000,1199.250000,1150.750000,1195.750000,1122.795288,800
2011-02-14,1172.000000,1173.750000,1152.250000,1160.750000,1089.930786,2900
2011-02-15,1132.500000,1134.750000,1108.250000,1118.000000,1049.789063,3600
2011-02-16,1107.250000,1137.000000,1100.500000,1104.750000,1037.347290,4300
2011-02-17,1089.250000,1100.000000,1081.750000,1083.250000,1017.159058,3200
2011-02-18,1066.500000,1071.500000,1036.250000,1059.500000,994.858154,3400
2011-02-22,1016.250000,1079.000000,1012.000000,1076.750000,1011.055664,3000
2011-02-23,1061.000000,1069.000000,1019.750000,1036.750000,973.496338,4900
2011-02-24,1027.250000,1104.750000,1026.750000,1102.250000,1034.999878,6500
2011-02-25,1083.000000,1083.000000,1055.500000,1055.500000,991.102234,1600
2011-02-28,1044.250000,1055.000000,1022.750000,1022.750000,960.350403,1200
2011-03-01,1005.250000,1008.250000,980.500000,991.500000,931.006897,1600
2011-03-02,977.250000,1002.250000,977.250000,987.000000,926.781494,600
2011-03-03,1013.250000,1040.750000,1011.000000,1016.000000,954.012085,1400
2011-03-04,1010.750000,1010.750000,988.500000,1001.750000,940.631592,1300
2011-03-07,938.250000,1021.750000,938.250000,1015.250000,953.307922,500
2011-03-08,1022.500000,1060.000000,1021.000000,1033.500000,970.444519,1600
2011-03-09,1025.250000,1062.000000,1020.000000,1052.250000,988.050415,1100
2011-03-10,1100.750000,1134.250000,1094.500000,1126.000000,1057.300903,2800
2011-03-11,1147.500000,1153.000000,1070.500000,1085.250000,1019.037109,2100
2011-03-14,1087.000000,1112.500000,1079.750000,1090.250000,1023.731995,700
2011-03-15,1192.750000,1199.250000,1131.000000,1138.000000,1068.568726,3300
2011-03-16,1140.750000,1207.750000,1118.750000,1188.250000,1115.752808,3900
2011-03-17,1165.250000,1190.250000,1156.750000,1168.500000,1097.207764,1000
2011-03-18,1137.250000,1149.000000,1112.000000,1130.000000,1061.056763,1800
2011-03-21,1085.250000,1103.750000,1073.000000,1073.000000,1007.534546,1200
2011-03-22,1084.000000,1093.000000,1053.250000,1064.750000,999.787842,1200
2011-03-23,1055.500000,1059.500000,984.750000,991.000000,930.537415,2500
2011-03-24,998.750000,1005.250000,954.750000,998.000000,937.110413,2200
2011-03-25,996.000000,1023.500000,979.500000,1015.000000,953.073120,1600
2011-03-28,1037.750000,1051.750000,1016.250000,1050.250000,986.172546,1800
2011-03-29,1051.500000,1064.000000,1021.250000,1047.750000,983.825012,900
2011-03-30,1021.000000,1042.250000,1005.250000,1007.000000,945.561279,1600
2011-03-31,987.250000,995.250000,976.750000,992.750000,932.180725,800
2011-04-01,999.500000,1014.750000,988.750000,1003.500000,942.274780,2100
2011-04-04,991.000000,1003.750000,973.500000,1001.000000,939.927307,700
2011-04-05,1001.000000,1005.500000,904.250000,905.250000,850.019165,2100
2011-04-06,889.000000,913.750000,880.000000,901.250000,846.263245,2400
2011-04-07,906.500000,913.750000,883.250000,908.000000,852.601379,1300
2011-04-08,876.250000,886.000000,863.750000,870.000000,816.919861,1200
2011-04-11,873.500000,933.500000,873.250000,918.000000,861.991272,2100
2011-04-12,929.750000,962.500000,918.750000,948.000000,890.160950,2800
2011-04-13,929.750000,964.000000,926.250000,954.500000,896.264343,1300
2011-04-14,948.500000,956.750000,921.500000,931.250000,874.432861,2100
2011-04-15,932.250000,947.750000,924.000000,937.000000,879.832092,1300
2011-04-18,938.000000,993.250000,938.000000,955.250000,896.968567,1800
2011-04-19,953.750000,962.750000,928.000000,929.500000,872.789612,1900
2011-04-20,905.750000,916.250000,885.500000,915.750000,859.878601,2700
2011-04-21,897.250000,911.250000,890.500000,899.500000,844.619995,1400
2011-04-25,893.500000,949.000000,893.500000,944.000000,886.405029,2600
2011-04-26,953.750000,983.000000,953.750000,972.250000,912.931396,2400
2011-04-27,958.250000,992.500000,921.250000,925.500000,869.033752,2000
2011-04-28,915.500000,940.000000,898.000000,935.500000,878.423584,1800
2011-04-29,932.750000,937.250000,900.000000,908.250000,852.836182,1200
2011-05-02,930.750000,983.750000,910.250000,968.000000,908.940735,3400
2011-05-03,981.500000,1050.750000,974.000000,1029.250000,966.453796,4900
2011-05-04,1025.000000,1070.500000,1007.250000,1026.750000,964.106201,5400
2011-05-05,1061.000000,1133.250000,1039.000000,1104.750000,1037.347290,8500
2011-05-06,1072.750000,1109.250000,1043.500000,1099.500000,1032.417725,5700
2011-05-09,1073.750000,1095.000000,1057.250000,1059.250000,994.623474,3100
2011-05-10,1053.250000,1076.750000,1049.750000,1073.500000,1008.003967,1700
2011-05-11,1082.000000,1160.750000,1070.750000,1142.750000,1073.028931,4000
2011-05-12,1172.000000,1201.250000,1132.000000,1158.500000,1087.817993,4200
2011-05-13,1154.750000,1212.000000,1130.000000,1177.000000,1105.189087,2600
2011-05-16,1174.250000,1191.250000,1122.750000,1165.250000,1094.156250,4000
2011-05-17,1182.000000,1201.000000,1137.500000,1142.750000,1073.028931,2700
2011-05-18,1126.250000,1139.000000,1104.250000,1127.500000,1058.709229,5000
2011-05-19,1126.250000,1140.000000,1108.750000,1117.250000,1049.084717,5900
2011-05-20,1117.250000,1158.750000,1081.500000,1109.750000,1042.042236,2600
2011-05-23,1125.750000,1142.250000,1090.500000,1128.250000,1059.413574,2700
2011-05-24,1105.500000,1106.000000,1064.500000,1076.250000,1010.586182,2700
2011-05-25,1070.000000,1081.500000,1041.750000,1060.750000,996.032043,1600
2011-05-26,1058.750000,1084.250000,1055.250000,1058.750000,994.153931,2900
2011-05-27,1044.500000,1044.500000,1020.500000,1026.500000,963.871521,5000
2011-05-31,1009.000000,1043.250000,1006.750000,1018.500000,956.359619,4500
2011-06-01,1022.500000,1057.750000,1010.500000,1056.500000,992.041260,1500
2011-06-02,1053.250000,1100.250000,1033.500000,1072.250000,1006.830261,3400
2011-06-03,1086.500000,1095.500000,1060.000000,1077.500000,1011.759888,3700
2011-06-06,1088.500000,1147.750000,1073.000000,1141.750000,1072.089844,3800
2011-06-07,1122.250000,1156.750000,1113.000000,1148.750000,1078.662842,2300
2011-06-08,1173.750000,1223.750000,1159.000000,1198.750000,1125.612183,6100
2011-06-09,1187.500000,1204.250000,1140.500000,1156.500000,1085.939941,2500
2011-06-10,1182.500000,1217.500000,1180.000000,1198.250000,1125.142822,3500
2011-06-13,1209.750000,1253.000000,1188.500000,1237.000000,1161.528564,6000
2011-06-14,1223.250000,1223.500000,1180.750000,1197.750000,1124.673340,5400
2011-06-15,1213.750000,1235.000000,1167.500000,1212.000000,1138.053833,5200
2011-06-16,1218.500000,1299.750000,1214.000000,1269.500000,1192.045654,8300
2011-06-17,1268.750000,1277.500000,1225.000000,1259.750000,1182.890625,3400
2011-06-20,1259.500000,1259.500000,1226.500000,1247.000000,1170.918579,3700
2011-06-21,1224.000000,1249.000000,1156.000000,1162.250000,1091.339233,2800
2011-06-22,1160.250000,1161.750000,1103.500000,1134.000000,1064.812744,5300
2011-06-23,1190.750000,1220.500000,1162.500000,1163.250000,1092.278198,5200
2011-06-24,1167.500000,1228.500000,1167.500000,1223.000000,1148.382813,4800
2011-06-27,1240.500000,1258.000000,1211.250000,1225.500000,1150.730225,3800
2011-06-28,1212.000000,1233.500000,1182.250000,1190.000000,1117.396118,4900
2011-06-29,1171.750000,1175.500000,1112.250000,1139.250000,1069.742432,3200
2011-06-30,1128.250000,1153.750000,1121.750000,1130.500000,1061.526367,4300
2011-07-01,1148.250000,1194.000000,1148.000000,1167.000000,1095.799316,5900
2011-07-05,1110.250000,1129.750000,1079.750000,1092.500000,1025.844727,3300
2011-07-06,1075.250000,1082.000000,1052.500000,1064.000000,999.083557,2100
2011-07-07,1049.750000,1059.750000,1034.500000,1059.500000,994.858154,3200
2011-07-08,1047.000000,1070.750000,1035.250000,1059.750000,995.092834,2400
2011-07-11,1053.250000,1095.000000,1039.250000,1082.750000,1016.689575,3700
2011-07-12,1085.000000,1085.000000,1001.250000,1016.250000,954.246887,4200
2011-07-13,985.750000,987.500000,924.250000,947.750000,889.926208,7900
2011-07-14,924.250000,965.250000,922.000000,959.750000,901.194092,6800
2011-07-15,954.000000,957.500000,932.750000,934.250000,877.249878,2800
2011-07-18,914.000000,915.250000,893.500000,904.250000,849.080200,4300
2011-07-19,898.250000,942.750000,896.000000,932.750000,875.841370,7500
2011-07-20,944.250000,951.500000,906.500000,912.750000,857.061584,4500
2011-07-21,907.750000,930.000000,899.500000,921.250000,865.043030,3500
2011-07-22,910.500000,917.000000,892.500000,899.250000,844.385254,2000
2011-07-25,879.750000,917.750000,872.250000,914.250000,858.470093,3200
2011-07-26,916.250000,926.500000,905.000000,913.750000,858.000549,4600
2011-07-27,901.250000,970.500000,893.750000,968.750000,909.644958,5900
2011-07-28,980.000000,1010.750000,974.250000,980.000000,920.208618,7300
2011-07-29,988.500000,1024.750000,987.500000,1020.750000,958.472290,6100
2011-08-01,1020.750000,1026.000000,973.500000,1002.250000,941.101074,8100
2011-08-02,976.750000,992.500000,946.000000,967.250000,908.236450,7600
2011-08-03,944.500000,950.250000,922.750000,940.750000,883.353271,2200
2011-08-04,926.750000,1077.000000,926.250000,1046.750000,982.885986,8700
2011-08-05,1037.000000,1123.250000,1000.000000,1063.750000,998.848938,13900
2011-08-08,1027.500000,1067.750000,965.250000,1066.500000,1001.431030,11800
2011-08-09,1024.750000,1083.750000,976.250000,976.250000,916.687378,11100
2011-08-10,976.500000,1006.750000,883.500000,912.500000,856.826843,5600
2011-08-11,934.000000,966.500000,892.500000,903.250000,848.141235,6700
2011-08-12,924.750000,951.000000,916.000000,922.250000,865.981934,3300
2011-08-15,927.250000,939.500000,867.750000,870.500000,817.389343,7500
2011-08-16,870.750000,895.250000,861.500000,888.250000,834.056396,2600
2011-08-17,886.250000,886.250000,850.500000,873.750000,820.441101,2300
2011-08-18,863.500000,916.000000,863.500000,903.750000,848.610657,6100
2011-08-19,880.250000,880.250000,842.500000,858.000000,805.652039,5600
2011-08-22,832.250000,838.750000,779.750000,790.000000,741.800720,4300
2011-08-23,821.250000,863.250000,804.750000,844.750000,793.210388,7300
2011-08-24,862.500000,917.500000,852.750000,886.250000,832.178406,17100
2011-08-25,913.000000,927.000000,841.500000,854.500000,802.365417,7200
2011-08-26,844.250000,892.750000,811.000000,812.500000,762.927979,3300
2011-08-29,805.000000,844.250000,804.750000,827.000000,776.543335,8900
2011-08-30,807.750000,822.750000,792.250000,799.750000,750.955872,5400
2011-08-31,800.000000,825.750000,787.500000,803.250000,754.242371,2300
2011-09-01,804.750000,815.000000,776.000000,789.000000,740.861816,3300
2011-09-02,766.750000,767.500000,741.000000,749.750000,704.006470,10600
2011-09-06,743.000000,762.750000,709.750000,742.500000,697.198792,22400
2011-09-07,783.250000,791.000000,738.000000,738.250000,693.208191,10000
2011-09-08,711.750000,724.000000,704.500000,711.250000,667.855469,7100
2011-09-09,723.500000,738.500000,705.250000,728.750000,684.287720,8000
2011-09-12,754.250000,805.250000,733.250000,770.250000,723.255798,18300
2011-09-13,782.250000,795.250000,751.250000,758.750000,712.457397,6500
2011-09-14,767.000000,791.000000,761.500000,789.000000,740.861816,7400
2011-09-15,800.500000,832.000000,794.500000,796.750000,748.138916,10900
2011-09-16,796.250000,796.250000,760.750000,768.500000,721.612488,9800
2011-09-19,766.000000,784.000000,748.750000,778.000000,730.532898,11600
2011-09-20,775.500000,783.750000,707.250000,725.750000,681.470764,18700
2011-09-21,730.000000,755.000000,697.750000,755.000000,708.936218,20700
2011-09-22,833.500000,887.250000,832.000000,870.000000,816.919861,14700
2011-09-23,931.750000,1000.000000,916.000000,958.250000,899.785583,10300
2011-09-26,978.750000,1005.000000,919.250000,925.500000,869.033752,10600
2011-09-27,856.750000,943.500000,849.250000,933.750000,876.780334,12800
2011-09-28,925.500000,1017.000000,907.000000,1014.750000,952.838379,15500
2011-09-29,978.250000,1032.750000,967.000000,1003.000000,941.805298,16300
2011-09-30,1019.500000,1026.000000,942.500000,993.000000,932.415405,8000
