Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,154.360001,163.520004,154.360001,39.158001,156.632004,11400
2015-05-29,161.240005,167.479996,158.000000,40.970001,163.880005,6500
2015-06-01,170.720001,183.360001,157.440002,41.240002,164.960007,51300
2015-06-02,164.080002,168.639999,157.839996,40.849998,163.399994,16900
2015-06-03,167.520004,170.399994,162.399994,42.389999,169.559998,34200
2015-06-04,167.199997,171.880005,159.279999,41.580002,166.320007,36100
2015-06-05,165.279999,174.871994,160.000000,43.509998,174.039993,35700
2015-06-08,176.160004,178.160004,170.399994,43.580002,174.320007,41500
2015-06-09,174.279999,174.279999,160.576004,41.520000,166.080002,42600
2015-06-10,166.199997,170.720001,162.000000,42.680000,170.720001,34100
2015-06-11,173.360001,173.800003,167.720001,43.425999,173.703995,26200
2015-06-12,173.000000,173.000000,164.000000,41.430000,165.720001,36200
2015-06-15,162.000000,167.880005,157.160004,41.790001,167.160004,35200
2015-06-16,166.720001,172.000000,164.800003,42.049999,168.199997,20300
2015-06-17,171.440002,177.399994,171.000000,43.689999,174.759995,81100
2015-06-18,178.039993,192.440002,178.039993,47.430000,189.720001,43600
2015-06-19,193.000000,194.000000,185.360001,48.230000,192.919998,58500
2015-06-22,200.000000,209.880005,196.639999,52.360001,209.440002,122900
2015-06-23,214.919998,216.839996,201.559998,52.259998,209.039993,96000
2015-06-24,208.080002,210.119995,192.940002,48.869999,195.479996,62300
2015-06-25,200.039993,200.800003,184.000000,47.590000,190.360001,75700
2015-06-26,193.160004,195.479996,177.360001,46.660000,186.639999,72300
2015-06-29,177.919998,186.440002,167.399994,42.040001,168.160004,77800
2015-06-30,180.800003,191.559998,175.360001,47.709999,190.839996,83600
2015-07-01,199.000000,200.000000,177.639999,45.630001,182.520004,75800
2015-07-02,188.880005,188.960007,174.839996,44.500000,178.000000,25100
2015-07-06,171.000000,190.199997,170.240005,46.209999,184.839996,38400
2015-07-07,185.639999,187.464005,171.207993,46.700001,186.800003,57700
2015-07-08,178.399994,181.000000,165.123993,41.770000,167.080002,110900
2015-07-09,175.080002,179.160004,172.759995,44.090000,176.360001,75100
2015-07-10,185.440002,189.240005,178.039993,47.169998,188.679993,81000
2015-07-13,194.240005,205.419998,194.000000,50.820000,203.279999,99300
2015-07-14,205.080002,218.544006,202.160004,54.299999,217.199997,102600
2015-07-15,223.440002,230.479996,212.815994,54.000000,216.000000,140100
2015-07-16,224.399994,229.360001,217.800003,57.090000,228.360001,94200
2015-07-17,231.660004,232.423996,220.479996,58.099998,232.399994,72000
2015-07-20,236.440002,239.279999,224.880005,57.910000,231.639999,90300
2015-07-21,231.639999,231.639999,210.800003,55.200001,220.800003,91100
2015-07-22,206.320007,225.000000,205.000000,55.709999,222.839996,58700
2015-07-23,225.320007,230.679993,215.600006,54.250000,217.000000,77900
2015-07-24,209.720001,218.919998,193.440002,48.630001,194.520004,167700
2015-07-27,188.520004,189.039993,177.000000,46.230000,184.919998,143100
2015-07-28,192.199997,202.600006,181.419998,50.040001,200.160004,88000
2015-07-29,205.199997,205.279999,181.320007,46.869999,187.479996,142200
2015-07-30,187.240005,188.919998,171.720001,46.470001,185.880005,82300
2015-07-31,188.199997,199.720001,183.199997,48.139999,192.559998,103300
2015-08-03,194.279999,200.720001,186.080002,48.040001,192.160004,100700
2015-08-04,193.800003,198.119995,189.600006,48.090000,192.360001,71300
2015-08-05,196.199997,202.199997,192.399994,48.730000,194.919998,60100
2015-08-06,194.000000,194.343994,161.279999,41.251999,165.007996,233000
2015-08-07,164.839996,164.880005,141.000000,38.200001,152.800003,246000
2015-08-10,162.000000,164.720001,154.520004,39.240002,156.960007,85900
2015-08-11,148.240005,162.000000,141.119995,36.720001,146.880005,130900
2015-08-12,140.039993,153.000000,130.039993,37.549999,150.199997,215500
2015-08-13,152.479996,155.800003,141.800003,35.619999,142.479996,87900
2015-08-14,141.199997,144.356003,128.600006,34.040001,136.160004,165200
2015-08-17,132.919998,153.675995,132.000000,38.150002,152.600006,171000
2015-08-18,152.199997,152.759995,141.399994,35.570000,142.279999,80300
2015-08-19,139.119995,141.919998,130.000000,34.000000,136.000000,151100
2015-08-20,130.679993,135.639999,113.727997,28.469999,113.879997,244200
2015-08-21,107.559998,124.400002,104.919998,28.540001,114.160004,305700
2015-08-24,84.000000,119.599998,81.400002,24.510000,98.040001,238200
2015-08-25,116.000000,118.000000,99.199997,24.900000,99.599998,258200
2015-08-26,108.080002,115.080002,95.919998,28.760000,115.040001,238500
2015-08-27,121.000000,126.279999,115.652000,30.920000,123.680000,266200
2015-08-28,122.000000,131.600006,119.959999,32.900002,131.600006,158400
2015-08-31,131.000000,135.960007,119.440002,29.969999,119.879997,285900
2015-09-01,108.080002,118.599998,107.760002,27.420000,109.680000,183100
2015-09-02,116.040001,123.199997,109.639999,30.799999,123.199997,155100
2015-09-03,126.040001,127.800003,111.320000,27.969999,111.879997,244400
2015-09-04,108.199997,118.120003,106.320000,28.480000,113.919998,177300
2015-09-08,122.000000,128.800003,117.000000,31.990000,127.959999,226400
2015-09-09,133.679993,133.800003,117.400002,29.650000,118.599998,194100
